question,answer
What was the average annual rainfall in Tripura in 2023?,The average annual rainfall in Tripura in 2023 was 4.47 mm (source: cleaned_limited_rainfall_data.csv / limited_rainfall_data_500_per_year.csv).
Which district had the highest average rainfall in Tripura in 2023?,SEPAHIJALA had the highest average rainfall (5.30 mm) in Tripura in 2023.
"What was the wettest month for SOUTH TRIPURA, Tripura in 2023?","9.0 was the wettest month in SOUTH TRIPURA, Tripura in 2023, with 9.42 mm average rainfall."
"How much rainfall did SOUTH TRIPURA, Tripura receive on average in 2023?","SOUTH TRIPURA, Tripura received an average rainfall of 3.91 mm in 2023."
"What was the wettest month for NORTH TRIPURA, Tripura in 2023?","12.0 was the wettest month in NORTH TRIPURA, Tripura in 2023, with 0.00 mm average rainfall."
"How much rainfall did NORTH TRIPURA, Tripura receive on average in 2023?","NORTH TRIPURA, Tripura received an average rainfall of 0.00 mm in 2023."
What was the average annual rainfall in Telangana in 2023?,The average annual rainfall in Telangana in 2023 was 4.14 mm (source: cleaned_limited_rainfall_data.csv / limited_rainfall_data_500_per_year.csv).
Which district had the highest average rainfall in Telangana in 2023?,WARANGAL RURAL had the highest average rainfall (8.46 mm) in Telangana in 2023.
"What was the wettest month for VIKARABAD, Telangana in 2023?","7.0 was the wettest month in VIKARABAD, Telangana in 2023, with 6.42 mm average rainfall."
"How much rainfall did VIKARABAD, Telangana receive on average in 2023?","VIKARABAD, Telangana received an average rainfall of 2.65 mm in 2023."
"What was the wettest month for WARANGAL RURAL, Telangana in 2023?","7.0 was the wettest month in WARANGAL RURAL, Telangana in 2023, with 58.26 mm average rainfall."
"How much rainfall did WARANGAL RURAL, Telangana receive on average in 2023?","WARANGAL RURAL, Telangana received an average rainfall of 8.46 mm in 2023."
What was the average annual rainfall in Arunachal Pradesh in 2024?,The average annual rainfall in Arunachal Pradesh in 2024 was 4.53 mm (source: cleaned_limited_rainfall_data.csv / limited_rainfall_data_500_per_year.csv).
Which district had the highest average rainfall in Arunachal Pradesh in 2024?,KURUNG KUMEY had the highest average rainfall (7.13 mm) in Arunachal Pradesh in 2024.
"What was the wettest month for KURUNG KUMEY, Arunachal Pradesh in 2024?","6.0 was the wettest month in KURUNG KUMEY, Arunachal Pradesh in 2024, with 22.03 mm average rainfall."
"How much rainfall did KURUNG KUMEY, Arunachal Pradesh receive on average in 2024?","KURUNG KUMEY, Arunachal Pradesh received an average rainfall of 7.13 mm in 2024."
"What was the wettest month for LOWER SIANG, Arunachal Pradesh in 2024?","3.0 was the wettest month in LOWER SIANG, Arunachal Pradesh in 2024, with 6.32 mm average rainfall."
"How much rainfall did LOWER SIANG, Arunachal Pradesh receive on average in 2024?","LOWER SIANG, Arunachal Pradesh received an average rainfall of 2.97 mm in 2024."
What was the average annual rainfall in Andhra Pradesh in 2024?,The average annual rainfall in Andhra Pradesh in 2024 was 2.06 mm (source: cleaned_limited_rainfall_data.csv / limited_rainfall_data_500_per_year.csv).
Which district had the highest average rainfall in Andhra Pradesh in 2024?,KURNOOL had the highest average rainfall (2.83 mm) in Andhra Pradesh in 2024.
"What was the wettest month for SPSR NELLORE, Andhra Pradesh in 2024?","6.0 was the wettest month in SPSR NELLORE, Andhra Pradesh in 2024, with 7.75 mm average rainfall."
"How much rainfall did SPSR NELLORE, Andhra Pradesh receive on average in 2024?","SPSR NELLORE, Andhra Pradesh received an average rainfall of 2.04 mm in 2024."
What was the average annual rainfall in Andhra Pradesh in 2022?,The average annual rainfall in Andhra Pradesh in 2022 was 3.28 mm (source: cleaned_limited_rainfall_data.csv / limited_rainfall_data_500_per_year.csv).
Which district had the highest average rainfall in Andhra Pradesh in 2022?,PRAKASAM had the highest average rainfall (4.75 mm) in Andhra Pradesh in 2022.
"What was the wettest month for PRAKASAM, Andhra Pradesh in 2022?","9.0 was the wettest month in PRAKASAM, Andhra Pradesh in 2022, with 12.64 mm average rainfall."
"How much rainfall did PRAKASAM, Andhra Pradesh receive on average in 2022?","PRAKASAM, Andhra Pradesh received an average rainfall of 4.75 mm in 2022."
What was the average annual rainfall in Andaman & Nicobar in 2022?,The average annual rainfall in Andaman & Nicobar in 2022 was 0.00 mm (source: cleaned_limited_rainfall_data.csv / limited_rainfall_data_500_per_year.csv).
Which district had the highest average rainfall in Andaman & Nicobar in 2022?,SOUTH ANDAMANS had the highest average rainfall (0.00 mm) in Andaman & Nicobar in 2022.
"What was the wettest month for SOUTH ANDAMANS, Andaman & Nicobar in 2022?","2.0 was the wettest month in SOUTH ANDAMANS, Andaman & Nicobar in 2022, with 0.00 mm average rainfall."
"How much rainfall did SOUTH ANDAMANS, Andaman & Nicobar receive on average in 2022?","SOUTH ANDAMANS, Andaman & Nicobar received an average rainfall of 0.00 mm in 2022."
What was the average annual rainfall in Bihar in 2021?,The average annual rainfall in Bihar in 2021 was 5.74 mm (source: cleaned_limited_rainfall_data.csv / limited_rainfall_data_500_per_year.csv).
Which district had the highest average rainfall in Bihar in 2021?,PASHCHIM CHAMPARAN had the highest average rainfall (9.80 mm) in Bihar in 2021.
